sites,2022-12-12_2023-01-08,2023-01-09_2023-02-05,2023-02-06_2023-03-05,2023-03-06_2023-04-02,2023-04-03_2023-04-30,2023-05-01_2023-06-11,2023-06-12_2023-07-23,2023-07-24_2023-09-03,2023-09-04_2023-10-01,2023-10-02_2023-10-29
CCMNP_S_01_AB,NA,NA,0,1,0,0,0,0,0,0
CCMNP_S_02_AB_T1,NA,NA,0,1,1,0,0,0,0,NA
CCMNP_S_03_AB_T24,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_04_AB_T5,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_05_A,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_06_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_07_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_08_AB_T3,NA,NA,NA,0,0,1,0,0,1,0
CCMNP_S_11_B,NA,NA,NA,NA,NA,0,0,0,0,0
CCMNP_S_12_B,NA,NA,NA,NA,NA,1,1,0,1,0
CCMNP_S_13_B,NA,NA,NA,NA,NA,0,0,0,0,0
CCMNP_S_16_AB_T16A,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_17_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_18_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_19_A,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_20_A,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_21_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_22_AB_T_PS22,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_23_B_T_23A,NA,NA,NA,0,0,0,0,0,0,0
CCMNP_S_24_AB_T_PS24A,NA,NA,0,0,0,0,1,0,0,0
CCMNP_S_25_B_T_PS25A,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_26_AB_T_PS21A,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_28_A_T_PS28A_A1,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_29_AB_T_PS29A,NA,NA,0,0,0,0,0,0,0,NA
CCMNP_S_30_A,NA,NA,0,1,0,0,NA,NA,NA,NA
CCMNP_S_33_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_34_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_35_A,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_37_A_T_KK14,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_38_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_39_A_T_KK13,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_39_B_T_KK11,NA,NA,NA,0,0,0,1,0,0,0
CCMNP_S_40_A,NA,NA,0,0,0,0,NA,NA,NA,NA
CCMNP_S_41_A_42_B,NA,NA,1,0,1,1,0,0,0,0
CCMNP_S_42_A_43_B,NA,NA,1,0,1,0,0,0,0,0
CCMNP_S_43_A_41_B,NA,NA,1,1,0,1,1,1,1,0
CCMNP_S_44_AB,NA,NA,1,1,0,1,1,1,1,1
CCMNP_S_45_AB,NA,NA,1,1,1,1,1,0,0,0
CCMNP_S_46_AB,NA,NA,0,0,1,1,0,0,0,0
CCMNP_S_47_AB,NA,NA,1,1,0,1,1,0,1,0
CCMNP_S_48_AB,NA,NA,1,1,1,1,0,0,1,0
CCMNP_S_49_AB,NA,NA,0,1,1,1,0,1,0,0
CCMNP_S_50_A_T01A,NA,NA,NA,0,0,1,0,0,0,1
CCMNP_S_51_AB_T_51AB,NA,NA,0,1,1,1,1,1,0,0
CCMNP_S_52_AB,NA,NA,0,0,0,1,0,0,0,0
CCMNP_S_53_AB_T_58A,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_54_AB_T_53A,NA,NA,NA,0,0,0,0,0,0,0
CCMNP_S_56_AB,NA,NA,0,0,1,1,0,1,0,1
CCMNP_S_57_AB,NA,NA,0,0,0,0,0,0,0,0
CCMNP_S_58_AB,NA,NA,0,0,0,0,1,0,0,1
CCMNP_T_KK01,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_KK0203,0,0,0,0,1,1,0,NA,NA,NA
CCMNP_T_KK04,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_KK05,0,0,0,0,1,1,0,NA,NA,NA
CCMNP_T_KK06,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_KK0708,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_KK09,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_KK10,0,0,0,0,0,1,0,NA,NA,NA
CCMNP_T_KK1215,NA,NA,NA,0,0,0,0,0,0,0
CCMNP_T_KPS010208091013,1,1,0,1,1,1,1,NA,NA,NA
CCMNP_T_KPS0304,0,0,0,1,0,1,1,NA,NA,NA
CCMNP_T_KPS050607,0,1,0,0,0,0,0,NA,NA,NA
CCMNP_T_KPS11,NA,NA,0,0,1,1,0,NA,NA,NA
CCMNP_T_KPS12,NA,NA,1,1,1,1,1,NA,NA,NA
CCMNP_T_PS010203,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_PS0405,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_PS060708,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_PS09_PS10B,0,0,0,0,0,0,0,NA,NA,NA
CCMNP_T_PS10,NA,NA,0,0,NA,NA,NA,NA,NA,NA
